【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
ログイン,input,"メアド,pw",,,,,
新規会員登録,input,"メアド,pw",,,,,
パスワード再設定メール送信,input,メアド,,,,,
画面遷移,"ログイン,新規登録, パスワード再設定メール送信",画面間で行き来できるように,,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
ログイン,ログイン,「原稿_一覧 / 詳細」画面へ遷移,,,,,
新規会員登録,ログイン,「原稿_一覧 / 詳細」画面へ遷移,,,,,
パスワード再設定メール送信,ログイン,「原稿_一覧 / 詳細」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
ログイン,画面表示,フロント,,画面表示されたとき,"ヘッダー, メアド_input, pw_input, ログイン_button, pw変更導線が表示される",,
,初期表示,フロント,,,"メアド_input, pw_inputが空欄である",,
,メアド入力,フロント,,-,入力値が保持される,,
,メアド入力バリデーション,フロント,エラー,"未入力, メアド形式ではない",バリデーションが表示される,,
,pw入力,フロント,,-,入力値が保持される,,
,pwのマスク,フロント,,目のアイコン押下時,"マスクの場合：pwの入力値が可視化される
非マスクの場合：pwの入力値がマスクされる",,
,pw入力バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,ログインボタン押せる,フロント,,"メアド, pwの入力条件を満たす",ログインボタンが押せる,,
,ログインボタン押せない,フロント,エラー,"メアド, pwの入力条件を満たさない",ログインボタンが押せない,,
,ログイン実行,フロント,,入力条件を満たす,ログイン処理が開始される,,
,認証処理,UI WF,,"メアド, pwが正しい",ログイン状態となる,,
,,UI WF,,"and条件
・メール認証 = 認証済み
・ロール = 利用者
・企業情報 = 未登録",「企業情報」画面へ遷移する,,
,,UI WF,,"and条件
・メール認証 = 認証済み
・ロール = 利用者
・企業情報 = 登録済
・年間行事 = 未登録",「年間行事_新規作成」画面へ遷移する,,
,,UI WF,,"and条件
・メール認証 = 認証済み
・ロール = 利用者
・企業情報 = 登録済
・年間行事 = 登録済",「原稿_一覧」画面へ遷移する,,
,,Backend WF,,メール認証 = 未認証,メアド認証メールを入力されたメアド宛に送信,,
,,フロント,,,画面にメアド認証メール送信済みであることを表示,,
,,UI WF,,ロール = 管理者,「ログ管理」画面へ遷移する,,
,認証エラー表示,フロント,エラー,メアド または pw誤り,アラートが表示される,,
,,,,,,,
新規登録,画面表示,フロント,,画面表示されたとき,"ヘッダー, メアド_input, pw_input, 新規登録_button,利用規約導線,プライバシーボリシー導線が表示される",,
,初期表示,フロント,,,"メアド_input, pw_inputが空欄である",,
,メアド入力,フロント,,-,入力値が保持される,,
,メアド入力バリデーション,フロント,エラー,"未入力, メアド形式ではない",バリデーションが表示される,,
,pw入力,フロント,,-,入力値が保持される,,
,pwのマスク,フロント,,目のアイコン押下時,"マスクの場合：pwの入力値が可視化される
非マスクの場合：pwの入力値がマスクされる",,
,pw入力バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,新規登録ボタン押せる,フロント,,"メアド, pwの入力条件を満たす",新規登録ボタンが押せる,,
,新規登録ボタン押せない,フロント,エラー,"メアド, pwの入力条件を満たさない",新規登録ボタンが押せない,,
,登録実行,フロント,,入力条件を満たす,新規登録処理が開始される,,
,重複チェック,Backend WF,エラー,メールアドレス重複,アラートが表示される,,
,ユーザー情報作成,UI WF,,メールアドレスが未登録,ユーザー情報が作成される,,
,企業情報ひもづけ,UI WF,,ユーザー情報作成後,企業情報を作成、ユーザー情報に紐付ける,,
,メール送信,UI WF,,企業情報作成、紐付け後,メアド認証メールを入力されたメアド宛に送信,,
,メール送信完了案内,フロント,,メール送信後,画面にメアド認証メール送信済みであることを表示,,
,メール再送信,UI WF,,再送信ボタン押下時,メアド認証メールを登録したメアド宛に送信,,
,メール再送信完了案内,フロント,,メール再送信後,認証メール再送信済みであることを表示,,
,,,,,,,
パスワード再設定メール送信,画面表示,フロント,,画面表示されたとき,"ヘッダー, メアド_input, 送信_buttonが表示される",,
,初期表示,フロント,,,メアド_input空欄である,,
,メアド入力,フロント,,-,入力値が保持される,,
,メアド入力バリデーション,フロント,エラー,"未入力, メアド形式ではない",バリデーションが表示される,,
,メール送信実行,Backend WF,,対象メアドが入力されている,パスワード再設定メールを入力されたメアド宛に送信,,
,メール送信完了案内,フロント,,メール送信後,画面にパスワード再設定メール送信済みであることを表示,,
